course_title,content_duration,price
"Angular 2 Complete E-Commerce App Course - Java,Spring,MySQL",20.5,195.0
"Server API Development in Swift, Kitura, & Bluemix",20.5,200.0
Professional Ruby on Rails Developer with Rails 5,20.5,200.0
Try Django 1.9 | Build a Blog and Learn Python's #1 Library,20.0,50.0
"Intro to Investment Banking, M&A, IPO, Modeling + Free Book",20.0,60.0
How to Draw Pinups and Sexy Women,20.0,75.0
Complete PHP Course With Bootstrap3 CMS System & Admin Panel,20.0,195.0
"Complete E-Commerce Course - Java,Spring,Hibernate and MySQL",20.0,195.0
International Tax  - Tax Beyond boundaries,19.5,100.0
"WordPress Development - Themes, Plugins & Single Page Apps",19.5,150.0
Running a Web Development Business: The Complete Guide,19.5,150.0
Succeed in Forex Even if You Don't Know Where to Start!,19.5,200.0
Angular 2 & TypeScript Beginner Web Development,19.5,200.0
Web Development Masterclass - Complete Certificate Course,19.5,200.0
The Complete PHP MySQL Professional Course with 5 Projects,19.5,200.0
Professional Rails Code Along,19.0,40.0
Web Development w/ Google’s Go (golang) Programming Language,19.0,65.0
Ruby on Rails 4---A Test-Driven Approach,19.0,100.0
Beginner Guitar Lessons - Your Complete Foundation Course,18.5,60.0
The All-In-One Web Development Course,18.5,85.0
High Probability Trading Across Any Market: Stocks & Forex,18.5,95.0
One-stop Ruby on Rails: Build Web Applications from Scratch,18.5,145.0
"Beginner API development in Node, Express, ES6, & MongoDB",18.5,165.0
Django Core | A Reference Guide to Core Django Concepts,18.5,195.0
Learning 200 jQuery Functions with 800 Examples,18.5,195.0
The Complete front end web developer Bootcamp - 14 projects,18.5,200.0
The Original Complete Web Developer Course.,18.0,20.0
Vue JS 2 - The Complete Guide (incl. Vue Router & Vuex),18.0,190.0
FOREX : Learn Technical Analysis,18.0,200.0
PHP OOP: Object Oriented Programming for beginners + Project,18.0,200.0
Learn E-Commerce Website in PHP & MySQL From Scratch!,17.5,0.0
Become a Bootstrap Expert: Build 20 Layouts!,17.5,35.0
CFA Corporate Finance Level 2,17.5,50.0
"React.js: Building Production Ready Apps, Start to Finish",17.5,50.0
Learn Top Ten PHP FrameWorks By Building Projects,17.5,60.0
Management Accounting A Complete Study,17.5,150.0
Banking Credit Analysis Process (for Bankers),17.5,180.0
The Complete JavaScript Course: Build a Real-World Project,17.5,195.0
Diventa un professionista del Graphic Design,17.5,200.0
The Professional Ruby on Rails Developer,17.0,100.0
JavaScript from Beginner to Advanced,17.0,195.0
The Business Graphic Design with Photoshop & Illustrator,17.0,200.0
Learn and Understand React,16.5,30.0
Create a REAL Social Network like Facebook in PHP + MySQL,16.5,45.0
Using Modern JavaScript Today,16.5,50.0
Learn To Create WordPress Themes By Building 10 Projects,16.5,60.0
Character Concept Design for Beginners,16.5,175.0
Complete Guide to Front-End Web Development and Design,16.5,200.0
The Essential Web Developer Course - Build 12 Websites,16.5,200.0
Introduction to Modern Programming with PHP,16.0,20.0
Master ASP . NET 4 from scratch,16.0,50.0
Learn Nodejs by building 12 projects,16.0,50.0
Photoshop CC Eğitim Seti (YENİ),16.0,100.0
8 Beautiful Ruby on Rails Apps in 30 Days & TDD - Immersive ,16.0,100.0
Complete Python Web Course: Build 8 Python Web Apps,16.0,110.0
