course_id,course_title,url,is_paid,price,num_subscribers,num_reviews,num_lectures,subject,level,content_duration,subject
765238,Trading Algorítmico en Forex: Crea tu primer Robot de Forex!,https://www.udemy.com/aprender-programar-mql4-forex/,True,170,206,39,39,Business Finance,All Levels,6.5,Business Finance
93850,Financial Modeling - Facebook Case Study,https://www.udemy.com/financial-modeling-facebook-case-study_in_excel/,True,25,9,3,13,Business Finance,All Levels,1.5,Business Finance
1027678,"Depreciation, Amortization and Depletion",https://www.udemy.com/depreciation-amor/,True,25,7,1,13,Business Finance,Intermediate Level,1.0,Business Finance
676650,Corso introduttivo al trading profittevole,https://www.udemy.com/corso-introduttivo-al-trading-profittevole/,True,20,132,9,9,Business Finance,Beginner Level,1.0,Business Finance
985104,Investimento em Ações para Leigos,https://www.udemy.com/investimento-em-acoes-para-leigos/,True,20,201,46,19,Business Finance,Beginner Level,2.5,Business Finance
739964,Investing And Trading For Beginners: Mastering Price Charts,https://www.udemy.com/investing-and-trading-for-beginners-mastering-price-charts/,True,65,1540,178,26,Business Finance,Beginner Level,1.0,Business Finance
529718,Forex - Elliott Wave Theory with Fibonacci. ,https://www.udemy.com/forex-strategy-elliott-wave-theory-with-fibonacci/,True,20,2769,54,32,Business Finance,All Levels,1.5,Business Finance
900472,How To Earn Some Bitcoin Every Time You Use A Search Engine,https://www.udemy.com/getting-paid-to-search-the-web/,True,20,89,23,10,Business Finance,All Levels,1.0,Business Finance
476256,Stock Options Trades Using Interactive Brokers,https://www.udemy.com/stock-options-trades-using-interactive-brokers/,True,95,1580,26,14,Business Finance,Intermediate Level,1.0,Business Finance
484132,MBA Accounting and Finance for Managers(Paper MS04 of IGNOU),https://www.udemy.com/dividend-decision-a-comprehensive-study/,True,150,1340,4,272,Business Finance,All Levels,26.0,Business Finance
1015274,How to Start Investing: Made Simple and Easy,https://www.udemy.com/how-to-start-investing-made-simple-and-easy/,True,200,1506,12,12,Business Finance,All Levels,1.0,Business Finance
1058530,"How to Get Growing, Passive Income from the Fortune 500!",https://www.udemy.com/how-to-get-growing-passive-income-from-the-fortune-500/,True,25,4,0,12,Business Finance,All Levels,1.0,Business Finance
173462,Aprende a invertir y deja que tu dinero trabaje para ti,https://www.udemy.com/aprende-a-invertir-y-deja-que-tu-dinero-trabaje-para-ti/,True,145,789,68,95,Business Finance,All Levels,14.0,Business Finance
551910,SEASON 2 MQL4 Tutorial Bootcamp - Metatrader4 Trading Robots,https://www.udemy.com/mql4-tutorial-bootcamp-metatrader4-trading-robots-expert-advisors-mt4/,True,25,462,18,34,Business Finance,All Levels,1.0,Business Finance
74028,"CFA Level I Workshop 6: Alternatives, PM and Economics ",https://www.udemy.com/cfa-workshop-6/,True,20,71,1,5,Business Finance,All Levels,1.0,Business Finance
1217064,How To Invest With Tiny Capital In Stocks ?,https://www.udemy.com/howtoinvest5k/,True,20,1239,5,6,Business Finance,Beginner Level,0.7,Business Finance
501996,Aprende a invertir practicando,https://www.udemy.com/aprende-a-invertir-practicando/,True,35,26,9,42,Business Finance,All Levels,2.0,Business Finance
627332,Mutual Funds for Investors in Retirement Accounts,https://www.udemy.com/mutual-funds-for-investors-in-retirement-accounts/,True,20,0,0,0,Business Finance,All Levels,0.0,Business Finance
1068986,How To Profit From Stock Market Volatility,https://www.udemy.com/how-to-trade-stock-market-volatility/,False,0,1736,36,11,Business Finance,All Levels,0.6,Business Finance
24815,Harnessing the Power of Growth Stocks,https://www.udemy.com/harnessing-the-power-of-growth-stocks/,True,50,29,2,7,Business Finance,Intermediate Level,2.0,Business Finance
1210062,Wie funktionieren Bitcoin? Ein Einführungskurs.,https://www.udemy.com/wie-funktionieren-bitcoin-ein-einfuhrungskurs/,True,20,14,4,14,Business Finance,Beginner Level,0.6166667,Business Finance
1233894,The Latest Updates 2016 Financial Accounting Standards Board,https://www.udemy.com/2016-fasb-updates/,True,50,1,0,9,Business Finance,Intermediate Level,2.0,Business Finance
130298,Financial Modeling in Excel for Startups,https://www.udemy.com/financial-modeling-in-excel-for-startups/,True,50,1334,86,54,Business Finance,Beginner Level,6.0,Business Finance
828596,Global Macro Investing - Take Control Of The World's Markets,https://www.udemy.com/global-macro-trading-take-control-of-the-worlds-markets/,True,30,153,41,27,Business Finance,Intermediate Level,2.0,Business Finance
1113702,"Intro. to Asset-Backed Securities, CFA Level I,  2017 Prep",https://www.udemy.com/intro-to-asset-backed-securities-cfa-level-i-2017-prep/,True,20,1,0,13,Business Finance,All Levels,3.0,Business Finance
861764,"'Geometry Of Chance strategy of defeating the roulette.""",https://www.udemy.com/geometry-of-chance-strategy-of-defeating-the-roulette/,True,30,2,1,10,Business Finance,Intermediate Level,1.5,Business Finance
889824,61% Profit In 1 Month - Crush Your Forex Trading Paradigm,https://www.udemy.com/61-profit-in-1-month-shattering-your-trading-paradigm/,True,20,1027,29,25,Business Finance,All Levels,1.5,Business Finance
1245244,Building Financial Statements in Excel,https://www.udemy.com/guide-to-building-financial-statements/,True,35,1181,1,18,Business Finance,Beginner Level,1.0,Business Finance
502240,"Value Investing, Taught by Six Superinvestors",https://www.udemy.com/investing-stars/,True,200,3804,267,66,Business Finance,All Levels,5.0,Business Finance
366514,A Value Investing Approach to the Stock Market,https://www.udemy.com/start-investing-the-right-way/,True,20,1189,12,15,Business Finance,All Levels,1.5,Business Finance
920424,Option Trading for Rookies: Basic Option Strategies,https://www.udemy.com/basic-option-strategies-trading-vertical-options/,True,95,810,27,61,Business Finance,All Levels,2.5,Business Finance
72644,Complete Claritas Investment Certificate,https://www.udemy.com/claritas-investment-certificate/,True,50,388,56,35,Business Finance,All Levels,11.5,Business Finance
538560,Stocks For Beginners - A Guide To Investing,https://www.udemy.com/stocks-for-beginners-a-guide-to-investing/,True,20,64,15,14,Business Finance,Beginner Level,1.0,Business Finance
706942,Forex Trading For Beginners ,https://www.udemy.com/forex-trading-for-beginners-q/,False,0,9483,183,22,Business Finance,Beginner Level,2.0,Business Finance
585752,"Forex Trading Secrets |MT4 Robot (EA) inside, no coding",https://www.udemy.com/forex-trading-robot-forex-trading/,True,150,2096,48,29,Business Finance,All Levels,0.68333334,Business Finance
298558,Advanced Accounting for Investment Banking,https://www.udemy.com/advanced-accounting-for-investment-banking/,True,50,1260,80,38,Business Finance,Intermediate Level,4.0,Business Finance
507486,Technical Analysis 101: Secrets of Trading Revealed,https://www.udemy.com/secrets-of-stock-market-trading-revealed/,True,150,912,27,81,Business Finance,All Levels,2.5,Business Finance
598722,"Build, Grow, and Protect Your Assets: A Step-by-Step Guide",https://www.udemy.com/ron-delegges-crash-course-for-investors/,True,195,226,26,26,Business Finance,All Levels,3.5,Business Finance
389834,Stock Trading: Ultimate Guide to swing trading stocks,https://www.udemy.com/swingtrading/,True,200,336,6,13,Business Finance,All Levels,0.68333334,Business Finance
53211,Matemática Financeira de um jeito fácil,https://www.udemy.com/matematica-financeira2/,True,95,401,67,20,Business Finance,All Levels,1.5,Business Finance
874312,Cashflow Management for Small Businesses: A How To Guide,https://www.udemy.com/cashflow-management-for-small-businesses-a-how-to-guide/,True,25,2914,11,5,Business Finance,All Levels,0.6166667,Business Finance
1170626,Start Trading Stocks Using Technical Analysis! Part 2,https://www.udemy.com/start-trading-stocks-using-technical-analysis-part-2/,True,95,94,11,25,Business Finance,All Levels,2.0,Business Finance
619716,Easy Market Profits: 3 Step Stock Investing Strategy,https://www.udemy.com/make-money-from-the-stock-market/,True,20,486,3,14,Business Finance,Beginner Level,3.0,Business Finance
1005658,Trading for Beginners - Intermediate Level,https://www.udemy.com/trading-for-beginners-tier-2/,True,150,3979,40,39,Business Finance,Beginner Level,5.0,Business Finance
777444,Corporate Finance - A Brief Introduction,https://www.udemy.com/finance-a-brief-introduction-and-basics-finance-101/,False,0,11724,649,17,Business Finance,Beginner Level,1.5,Business Finance
1151398,Trading Forex - Trader avec les figures harmoniques,https://www.udemy.com/trading-forex-trader-avec-les-figures-harmoniques/,True,90,57,11,23,Business Finance,Beginner Level,2.0,Business Finance
772480,Learn to Trade Forex Big U-Turn Trade,https://www.udemy.com/learn-to-trade-forex-big-u-turn-trade/,True,50,106,13,12,Business Finance,Beginner Level,1.0,Business Finance
598846,Forex para Principiantes-Ejemplos en VIVO de Trading Real,https://www.udemy.com/forex-espanol/,True,140,813,94,52,Business Finance,Beginner Level,5.0,Business Finance
597716,Trade Pullback Candlestick Strategy - Make Consistent Pips,https://www.udemy.com/make-consistent-profit-using-pullback-candlestick-strategy/,True,200,521,67,24,Business Finance,All Levels,3.0,Business Finance
73030,Get to grips with the CFA calculator,https://www.udemy.com/cfa-calculator/,True,20,153,8,14,Business Finance,All Levels,1.5,Business Finance
390472,How To Set Up A Limited Company In The UK,https://www.udemy.com/how-to-set-up-a-limited-company-in-the-uk/,False,0,2075,69,11,Business Finance,Beginner Level,0.73333335,Business Finance
189996,Introduction to Digital Payments ,https://www.udemy.com/payments/,False,0,12217,351,17,Business Finance,Beginner Level,1.0,Business Finance
1206414,Excelを使ってビジネスシミュレーション：基礎編,https://www.udemy.com/excel-zw/,True,85,22,5,47,Business Finance,Beginner Level,5.0,Business Finance
682514,Professional Forex strategy,https://www.udemy.com/beginner-trading-forex-strategy/,True,50,353,21,17,Business Finance,Expert Level,1.5,Business Finance
965832,The Complete Investment Banking Course 2017,https://www.udemy.com/the-complete-investment-banking-course-2016/,True,195,8575,809,110,Business Finance,All Levels,5.5,Business Finance
754028,Financial Accounting - A Brief Introduction,https://www.udemy.com/accounting-in-less-then-one-hour/,False,0,17847,1440,17,Business Finance,Beginner Level,1.0,Business Finance
371574,Cost Accounting Basics (Professional Course Level),https://www.udemy.com/basics-of-cost-accounting/,True,20,1777,11,23,Business Finance,Beginner Level,1.0,Business Finance
597084,Don't Let Your Customers Run Your Business,https://www.udemy.com/dont-let-your-customers-run-your-business/,True,50,7,3,28,Business Finance,Intermediate Level,2.5,Business Finance
627540,Options Trading - How to Win with Weekly Options,https://www.udemy.com/work-from-home-setup-your-own-options-trading-business/,True,115,7489,1190,25,Business Finance,Intermediate Level,1.0,Business Finance
576946,Introduction to bookkeeping and Accounting,https://www.udemy.com/introduction-to-bookkeeping-and-accounting/,True,35,2623,158,20,Business Finance,Beginner Level,1.0,Business Finance
638980,Option Trading: How to Adjust Delta-Neutral Strangles!,https://www.udemy.com/option-trading-selling-strangles/,True,145,1398,15,26,Business Finance,All Levels,1.5,Business Finance
172298,8. Amortization Schedules,https://www.udemy.com/amortization-schedules/,True,20,225,1,5,Business Finance,All Levels,1.0,Business Finance
1124276,Le bitcoin et la blockchain,https://www.udemy.com/le-bitcoin-et-la-blockchain/,True,80,13,3,12,Business Finance,All Levels,0.73333335,Business Finance
826168,Grundlagen der finanziellen Unabhängigkeit,https://www.udemy.com/grundlagen-der-finanziellen-unabhangigkeit/,False,0,1059,96,9,Business Finance,All Levels,1.5,Business Finance
